provider,acronym,name,web_status,describe_score,define_score,define_bp_score,connection_score,flat_score,core_average,core_average_2dp,core_average_bp,core_average_bp_2dp,define_bp_source,weakest_metric,bp_categories,bp_language,submission_id,bp_version,bp_released,bp_url
bioportal,SUGARBIND,SugarBind,scored,8.57,4.83,4.83,0.0,6.0,4.85,4.85,4.85,4.85,"same_as_strict (1.0 result, not re-checked)",Connection,Other,OWL,1,2023-06-20,2023-06-22T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/SUGARBIND
bioportal,SURGICAL,Nurse Surgical,scored,9.82,6.35,6.35,0.29,9.0,6.365,6.36,6.365,6.36,"same_as_strict (1.0 result, not re-checked)",Connection,Health,OWL,1,,2015-09-24T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/SURGICAL
bioportal,SVU_MWS_WSM,Syrian Cinema Ontology,scored,0.6,0.0,0.0,7.84,8.0,4.109999999999999,4.11,4.109999999999999,4.11,"same_as_strict (1.0 result, not re-checked)",Define,Other,OWL,1,1.0,2024-04-27T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/SVU_MWS_WSM
bioportal,SVU_MWS_WSM_F23,MWS-WSM-F23 Syrian Cinema Ontology,scored,0.6,0.0,0.0,7.84,8.0,4.109999999999999,4.11,4.109999999999999,4.11,"same_as_strict (1.0 result, not re-checked)",Define,Other,OWL,1,1.0,2024-04-30T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/SVU_MWS_WSM_F23
bioportal,SWEET,Semantic Web for Earth and Environment Technology Ontology,scored,9.83,0.57,0.57,1.25,10.0,5.4125,5.41,5.4125,5.41,"same_as_strict (1.0 result, not re-checked)",Define,,OWL,13,3.6.0,2022-07-14T18:16:30.000-07:00,https://bioportal.bioontology.org/ontologies/SWEET
bioportal,SWO,Software Ontology,scored,10.0,5.47,5.47,3.31,10.0,7.194999999999999,7.19,7.194999999999999,7.19,"same_as_strict (1.0 result, not re-checked)",Connection,Biomedical_Resources;Experimental_Conditions,OWL,32,2023-03-05,2023-03-05T18:21:57.000-08:00,https://bioportal.bioontology.org/ontologies/SWO
bioportal,SYMP,Symptom Ontology,scored,9.99,2.98,2.98,3.23,10.0,6.55,6.55,6.55,6.55,"same_as_strict (1.0 result, not re-checked)",Define,Health,OWL,35,2024-05-17,2024-05-18T18:14:52.000+00:00,https://bioportal.bioontology.org/ontologies/SYMP
bioportal,SYRIAN-CINEMA,Syrian Cinema,scored,0.28,0.1,0.1,8.1,7.0,3.87,3.87,3.87,3.87,"same_as_strict (1.0 result, not re-checked)",Define,Other,OWL,3,1.0.0,2023-04-12T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/SYRIAN-CINEMA
bioportal,SYRIANDRUGS,Syrian Drugs and medicines,scored,10.0,0.0,0.0,8.29,0.0,4.5725,4.57,4.5725,4.57,"same_as_strict (1.0 result, not re-checked)",Define,Chemical,OWL,1,0.01,2025-01-01T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/SYRIANDRUGS
bioportal,T4FS,terms4FAIRskills,scored,10.0,6.03,6.03,6.04,10.0,8.0175,8.02,8.0175,8.02,"same_as_strict (1.0 result, not re-checked)",Define,Other,OWL,2,2025-02-09,2025-02-09T18:13:58.000-08:00,https://bioportal.bioontology.org/ontologies/T4FS
