id,ts,run_id,phase,acronym,level,message
99,2026-09-23T21:06:52+00:00,20260923-150858-213570,evaluate,,INFO,"worker ready: {""type"": ""ready"", ""pid"": 30348, ""device"": ""cuda"", ""batch_size"": 128, ""model_load_seconds"": 5.38, ""torch"": ""2.12.0.dev20260330+cu128"", ""cuda_available"": true, ""gpu_name"": ""NVIDIA GeForce RTX 5090"", ""python"": ""3.11.15"", ""platform"": ""Windows-10-10.0.26200-SP0"", ""python_hash_seed"": ""0""}"
100,2026-09-23T21:06:52+00:00,20260923-150858-213570,evaluate,BMS-LM,WARNING,parse_failed at stage parse: unsupported_format:empty
101,2026-09-23T21:06:52+00:00,20260923-150858-213570,evaluate,FASTO,WARNING,parse_failed at stage parse: unsupported_format:empty
102,2026-09-23T21:06:52+00:00,20260923-150858-213570,evaluate,DMTO,WARNING,parse_failed at stage parse: unsupported_format:empty
103,2026-09-23T21:06:53+00:00,20260923-150858-213570,evaluate,CATALOG-THEMES,WARNING,"parse_failed at stage parse: unsupported format (tried turtle, auto, xml, n3, nt, trig, trix). Last error: file:///C:/owl4_run/downloads/CATALOG-THEMES/3/CATALOG-THEMES_3_original-submission.ttl:1:0: not well-formed (invalid token)"
104,2026-09-23T21:06:53+00:00,20260923-150858-213570,evaluate,VODANETHIOPIA_OR,WARNING,parse_failed at stage parse: not_an_ontology:office_document
105,2026-09-23T21:06:55+00:00,20260923-150858-213570,evaluate,YUNPING,WARNING,"parse_failed at stage parse: unsupported format (tried xml, auto, turtle, n3, nt, trig, trix, owlready2:rdfxml). Last error: RDF/XML parsing error in file C:\owl4_run\downloads\YUNPING\1\YUNPING_1_rdf.xrdf, line 137, column 102."
106,2026-09-23T21:06:56+00:00,20260923-150858-213570,evaluate,PEO_ONTOLOGY,WARNING,"parse_failed at stage parse: unsupported format (tried xml, auto, turtle, n3, nt, trig, trix, owlready2:rdfxml). Last error: RDF/XML parsing error in file C:\owl4_run\downloads\PEO_ONTOLOGY\3\PEO_ONTOLOGY_3_rdf.xrdf, line 1281, column 127."
107,2026-09-23T21:06:56+00:00,20260923-150858-213570,evaluate,DRMO,WARNING,"parse_failed at stage parse: unsupported format (tried xml, auto, turtle, n3, nt, trig, trix, owlready2:rdfxml). Last error: RDF/XML parsing error in file C:\owl4_run\downloads\DRMO\1\DRMO_1_rdf.xrdf, line 113, column 1938."
108,2026-09-23T21:06:57+00:00,20260923-150858-213570,evaluate,SIMON,WARNING,"parse_failed at stage parse: unsupported format (tried xml, auto, turtle, n3, nt, trig, trix, owlready2:rdfxml). Last error: RDF/XML parsing error in file C:\owl4_run\downloads\SIMON\1\SIMON_1_rdf.xrdf, line 27, column 214."
109,2026-09-23T21:06:58+00:00,20260923-150858-213570,evaluate,SOIL-PROF,WARNING,"parse_failed at stage parse: unsupported format (tried xml, auto, turtle, n3, nt, trig, trix, owlready2:rdfxml). Last error: RDF/XML parsing error in file C:\owl4_run\downloads\SOIL-PROF\3\SOIL-PROF_3_rdf.xrdf, line 5255, column 235."
110,2026-09-23T21:06:58+00:00,20260923-150858-213570,evaluate,PPLC,WARNING,"parse_failed at stage parse: unsupported format (tried owlready2:owlxml). Last error: OWL/XML parsing error in file C:\owl4_run\downloads\PPLC\1\PPLC_1_original.owl, line 7, column 56."
111,2026-09-23T21:06:58+00:00,20260923-150858-213570,evaluate,BPFORMS,WARNING,parse_failed at stage parse: unsupported_format:obo
112,2026-09-23T21:06:59+00:00,20260923-150858-213570,evaluate,HIV,WARNING,parse_failed at stage parse: unsupported_format:obo
113,2026-09-23T21:07:04+00:00,20260923-150858-213570,evaluate,CS,WARNING,"parse_failed at stage parse: unsupported format (tried owlready2:owlxml). Last error: OWL/XML parsing error in file C:\owl4_run\downloads\CS\1\CS_1_original.owl, line 15, column 76."
114,2026-09-23T21:07:04+00:00,20260923-150858-213570,evaluate,GAZ,WARNING,parse_failed at stage parse: unsupported_format:obo
115,2026-09-23T21:07:04+00:00,20260923-150858-213570,evaluate,CCO,WARNING,parse_failed at stage parse: unsupported_format:obo
116,2026-09-23T21:07:04+00:00,20260923-150858-213570,evaluate,CHEBI,WARNING,parse_failed at stage parse: unsupported_format:obo
117,2026-09-23T21:07:05+00:00,20260923-150858-213570,evaluate,,INFO,"evaluate phase finished: {'parse_failed': 17, 'done': 7}; worker restarts 0"
118,2026-09-23T21:28:01+00:00,20260923-150455-9a9da2,evaluate,,INFO,"requeued 1 evaluations with status in ('parse_failed', 'done', 'error', 'crashed', 'gave_up')"
119,2026-09-23T21:28:08+00:00,20260923-150455-9a9da2,evaluate,,INFO,"worker ready: {""type"": ""ready"", ""pid"": 2552, ""device"": ""cuda"", ""batch_size"": 128, ""model_load_seconds"": 5.43, ""torch"": ""2.12.0.dev20260330+cu128"", ""cuda_available"": true, ""gpu_name"": ""NVIDIA GeForce RTX 5090"", ""python"": ""3.11.15"", ""platform"": ""Windows-10-10.0.26200-SP0"", ""python_hash_seed"": ""0""}"
120,2026-09-23T21:30:16+00:00,20260923-150858-213570,evaluate,,INFO,"requeued 0 evaluations with status in ('parse_failed', 'done', 'error', 'crashed', 'gave_up')"
121,2026-09-23T21:30:16+00:00,20260923-150858-213570,evaluate,CHEBI,WARNING,found unfinished run from an earlier session -> interrupted
122,2026-09-23T21:30:23+00:00,20260923-150858-213570,evaluate,,INFO,"worker ready: {""type"": ""ready"", ""pid"": 25472, ""device"": ""cuda"", ""batch_size"": 128, ""model_load_seconds"": 5.46, ""torch"": ""2.12.0.dev20260330+cu128"", ""cuda_available"": true, ""gpu_name"": ""NVIDIA GeForce RTX 5090"", ""python"": ""3.11.15"", ""platform"": ""Windows-10-10.0.26200-SP0"", ""python_hash_seed"": ""0""}"
123,2026-09-23T21:36:04+00:00,20260923-150455-9a9da2,evaluate,,INFO,evaluate phase finished: {'done': 1}; worker restarts 0
124,2026-09-23T21:36:09+00:00,20260923-150455-9a9da2,evaluate,,INFO,"requeued 1 evaluations with status in ('parse_failed', 'done', 'error', 'crashed', 'gave_up')"
125,2026-09-23T21:36:16+00:00,20260923-150455-9a9da2,evaluate,,INFO,"worker ready: {""type"": ""ready"", ""pid"": 35792, ""device"": ""cuda"", ""batch_size"": 128, ""model_load_seconds"": 5.57, ""torch"": ""2.12.0.dev20260330+cu128"", ""cuda_available"": true, ""gpu_name"": ""NVIDIA GeForce RTX 5090"", ""python"": ""3.11.15"", ""platform"": ""Windows-10-10.0.26200-SP0"", ""python_hash_seed"": ""0""}"
126,2026-09-23T21:36:23+00:00,20260923-150455-9a9da2,evaluate,,INFO,evaluate phase finished: {'done': 1}; worker restarts 0
127,2026-09-23T21:36:23+00:00,20260923-150455-9a9da2,evaluate,,INFO,"requeued 1 evaluations with status in ('parse_failed', 'done', 'error', 'crashed', 'gave_up')"
128,2026-09-23T21:36:30+00:00,20260923-150455-9a9da2,evaluate,,INFO,"worker ready: {""type"": ""ready"", ""pid"": 27396, ""device"": ""cuda"", ""batch_size"": 128, ""model_load_seconds"": 5.78, ""torch"": ""2.12.0.dev20260330+cu128"", ""cuda_available"": true, ""gpu_name"": ""NVIDIA GeForce RTX 5090"", ""python"": ""3.11.15"", ""platform"": ""Windows-10-10.0.26200-SP0"", ""python_hash_seed"": ""0""}"
129,2026-09-23T21:36:31+00:00,20260923-150455-9a9da2,evaluate,DRMO,WARNING,"parse_failed at stage parse: unsupported format (tried turtle, auto, xml, n3, nt, trig, trix). Last error: file:///C:/owl4_run/downloads/DRMO/1/DRMO_1_original-submission.rdf:1:0: not well-formed (invalid token)"
130,2026-09-23T21:36:32+00:00,20260923-150455-9a9da2,evaluate,,INFO,evaluate phase finished: {'parse_failed': 1}; worker restarts 0
131,2026-09-23T21:36:32+00:00,20260923-150455-9a9da2,evaluate,,INFO,"requeued 1 evaluations with status in ('parse_failed', 'done', 'error', 'crashed', 'gave_up')"
