acronym,eval_status,eval_bytes,triple_count,entities,classes,individuals,bp_classes,sniffed_format,parse_format,eval_seconds,wall_seconds,parent_peak_rss_mb,gpu_peak_allocated_mb,define_device,define_defined,time_sniff,time_parse,time_identity,time_index,time_stats,time_describe,time_define,time_connection,time_flat,time_entities_table,time_total,time_write_outputs,time_define_bp,define_seconds_encode_labels,define_seconds_encode_definitions,download_seconds
PECO,done,7844840.0,89021.0,3171.0,3171.0,0.0,3170.0,xml,xml,5.053,5.053,1804.7,986.5,cuda,1858.0,0.001,3.091,0.0,0.523,0.005,0.017,0.79,0.03,0.023,0.012,4.859,0.046,,0.2,0.566,2.712
PEDTERM,done,2440117.0,17686.0,1772.0,1772.0,0.0,1771.0,xml,xml,1.157,1.157,1691.8,450.7,,0.0,0.0,0.776,0.002,0.049,0.001,0.01,0.003,0.001,0.006,0.005,1.016,0.017,,,,0.907
PEO,done,134454.0,1063.0,169.0,143.0,26.0,143.0,xml,xml,0.395,0.395,0.0,858.9,cuda,131.0,0.0,0.035,0.001,0.003,0.0,0.0,0.102,0.0,0.001,0.001,0.269,0.008,,0.022,0.078,0.148
PEO_ONTOLOGY,parse_failed,335597.0,,,,,124.0,,,0.839,,,,,,,,,,,,,,,,,,,,,0.27
PESONT,done,126608.0,834.0,211.0,161.0,50.0,160.0,xml,xml,0.269,0.269,0.0,450.7,,0.0,0.0,0.027,0.001,0.002,0.0,0.001,0.0,0.0,0.001,0.001,0.157,0.006,,,,0.18
PGHD-BP,done,19770.0,160.0,18.0,17.0,1.0,2.0,xml,xml,0.301,0.301,0.0,460.9,cuda,15.0,0.0,0.006,0.001,0.001,0.0,0.0,0.035,0.0,0.0,0.001,0.164,0.005,,0.017,0.016,0.762
PGHDPROV,done,86755.0,882.0,37.0,23.0,14.0,23.0,xml,xml,0.317,0.317,0.0,489.8,cuda,22.0,0.0,0.028,0.0,0.003,0.0,0.0,0.021,0.0,0.0,0.001,0.186,0.006,,0.009,0.01,0.247
PGHD_CONNECT,done,16101.0,130.0,13.0,12.0,1.0,2.0,xml,xml,0.285,0.285,0.0,466.9,cuda,10.0,0.0,0.005,0.001,0.0,0.0,0.0,0.033,0.0,0.0,0.001,0.162,0.005,,0.017,0.015,0.124
PGXO,done,24520.0,207.0,13.0,13.0,0.0,12.0,xml,xml,0.3,0.3,0.0,450.7,,0.0,0.0,0.009,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.161,0.005,,,,0.157
PHAGE,done,127532203.0,1510395.0,51495.0,51495.0,0.0,51495.0,xml,xml,92.832,92.832,3950.2,1169.9,cuda,47729.0,0.0,48.169,0.072,9.601,0.107,0.35,26.029,0.676,0.572,0.256,91.07,0.851,,6.252,18.995,41.758
